id,code,user_id,action,mj_id,prompt,prompt_en,description,state,submit_time,start_time,finish_time,image_url,video_url,video_urls,status,progress,fail_reason,channel_id,quota,buttons,properties
1,1,1,IMAGINE,1758610505473453,小狗 --v 7.0,小狗 --v 7.0 ,Submit success,,1758610510040,1758610511116,1758610546410,https://mj-sh.oss-cn-shanghai.aliyuncs.com/images/orig_1758610505473453_e3103720e5224b56b3b97883f783d8c0.png,,,SUCCESS,100%,,2,50000,"[{""customId"":""MJ::JOB::upsample::1::68d2444e470fc693140eead0"",""emoji"":"""",""label"":""U1"",""style"":2,""type"":2},{""customId"":""MJ::JOB::upsample::2::68d2444e470fc693140eead0"",""emoji"":"""",""label"":""U2"",""style"":2,""type"":2},{""customId"":""MJ::JOB::upsample::3::68d2444e470fc693140eead0"",""emoji"":"""",""label"":""U3"",""style"":2,""type"":2},{""customId"":""MJ::JOB::upsample::4::68d2444e470fc693140eead0"",""emoji"":"""",""label"":""U4"",""style"":2,""type"":2},{""customId"":""MJ::JOB::reroll::0::68d2444e470fc693140eead0::SOLO"",""emoji"":""🔄"",""label"":"""",""style"":2,""type"":2},{""customId"":""MJ::JOB::variation::1::68d2444e470fc693140eead0"",""emoji"":"""",""label"":""V1"",""style"":2,""type"":2},{""customId"":""MJ::JOB::variation::2::68d2444e470fc693140eead0"",""emoji"":"""",""label"":""V2"",""style"":2,""type"":2},{""customId"":""MJ::JOB::variation::3::68d2444e470fc693140eead0"",""emoji"":"""",""label"":""V3"",""style"":2,""type"":2},{""customId"":""MJ::JOB::variation::4::68d2444e470fc693140eead0"",""emoji"":"""",""label"":""V4"",""style"":2,""type"":2}]","{""finalPrompt"":""小狗 --ar 1:1 --v 7.0 --stylize 100 --fast"",""finalZhPrompt"":""""}"
2,1,1,IMAGINE,1758767087795005,三花彩狸花猫 --v 7.0,三花彩狸花猫 --v 7.0 ,Submit success,,1758767088648,1758767089329,1758767132600,https://mj-sh.oss-cn-shanghai.aliyuncs.com/images/orig_1758767087795005_c2ae156ddabd4ff9b1e1bdb278999438.png,,,SUCCESS,100%,,2,50000,"[{""customId"":""MJ::JOB::upsample::1::68d4a7f0470fc69314392f18"",""emoji"":"""",""label"":""U1"",""style"":2,""type"":2},{""customId"":""MJ::JOB::upsample::2::68d4a7f0470fc69314392f18"",""emoji"":"""",""label"":""U2"",""style"":2,""type"":2},{""customId"":""MJ::JOB::upsample::3::68d4a7f0470fc69314392f18"",""emoji"":"""",""label"":""U3"",""style"":2,""type"":2},{""customId"":""MJ::JOB::upsample::4::68d4a7f0470fc69314392f18"",""emoji"":"""",""label"":""U4"",""style"":2,""type"":2},{""customId"":""MJ::JOB::reroll::0::68d4a7f0470fc69314392f18::SOLO"",""emoji"":""🔄"",""label"":"""",""style"":2,""type"":2},{""customId"":""MJ::JOB::variation::1::68d4a7f0470fc69314392f18"",""emoji"":"""",""label"":""V1"",""style"":2,""type"":2},{""customId"":""MJ::JOB::variation::2::68d4a7f0470fc69314392f18"",""emoji"":"""",""label"":""V2"",""style"":2,""type"":2},{""customId"":""MJ::JOB::variation::3::68d4a7f0470fc69314392f18"",""emoji"":"""",""label"":""V3"",""style"":2,""type"":2},{""customId"":""MJ::JOB::variation::4::68d4a7f0470fc69314392f18"",""emoji"":"""",""label"":""V4"",""style"":2,""type"":2}]","{""finalPrompt"":""三花彩狸花猫 --ar 1:1 --v 7.0 --stylize 100 --fast"",""finalZhPrompt"":""""}"
