[SYS] 2025/11/05 - 11:46:23 | initializing token encoders 
[SYS] 2025/11/05 - 11:46:23 | token encoders initialized 
[SYS] 2025/11/05 - 11:46:23 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/11/05 - 11:46:23 | database migration started 
[SYS] 2025/11/05 - 11:46:23 | system is not initialized and no root user exists 
[SYS] 2025/11/05 - 11:46:23 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/11/05 - 11:46:23 | New API v0.0.0 started 
[SYS] 2025/11/05 - 11:46:23 | running in debug mode 
[SYS] 2025/11/05 - 11:46:23 | 正在更新数据看板数据... 
[SYS] 2025/11/05 - 11:46:23 | 保存数据看板数据成功，共保存0条数据 
[FATAL] 2025/11/05 - 11:46:23 | [failed to start HTTP server: listen tcp :3000: bind: operation not permitted] 
