[SYS] 2025/10/11 - 17:35:32 | initializing token encoders 
[SYS] 2025/10/11 - 17:35:32 | token encoders initialized 
[SYS] 2025/10/11 - 17:35:32 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/11 - 17:35:32 | database migration started 
[SYS] 2025/10/11 - 17:35:32 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/11 - 17:35:32 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/11 - 17:35:32 | New API v0.0.0 started 
[SYS] 2025/10/11 - 17:35:32 | running in debug mode 
[SYS] 2025/10/11 - 17:35:32 | memory cache enabled 
[SYS] 2025/10/11 - 17:35:32 | sync frequency: 60 seconds 
[SYS] 2025/10/11 - 17:35:32 | channels synced from database 
[SYS] 2025/10/11 - 17:35:32 | 正在更新数据看板数据... 
[SYS] 2025/10/11 - 17:35:32 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/11 - 17:35:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:35:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:36:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:36:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:36:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:36:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:36:32 | syncing options from database 
[SYS] 2025/10/11 - 17:36:32 | syncing channels from database 
[SYS] 2025/10/11 - 17:36:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:36:32 | channels synced from database 
[SYS] 2025/10/11 - 17:36:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:36:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:36:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:37:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:37:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:37:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:37:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:37:32 | syncing options from database 
[SYS] 2025/10/11 - 17:37:32 | syncing channels from database 
[SYS] 2025/10/11 - 17:37:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:37:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:37:32 | channels synced from database 
[SYS] 2025/10/11 - 17:37:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:37:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:38:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:38:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:38:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:38:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:38:32 | syncing options from database 
[SYS] 2025/10/11 - 17:38:32 | syncing channels from database 
[SYS] 2025/10/11 - 17:38:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:38:32 | channels synced from database 
[SYS] 2025/10/11 - 17:38:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:38:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:38:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:39:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:39:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:39:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:39:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:39:32 | syncing options from database 
[SYS] 2025/10/11 - 17:39:32 | syncing channels from database 
[SYS] 2025/10/11 - 17:39:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:39:32 | channels synced from database 
[SYS] 2025/10/11 - 17:39:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:39:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:39:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:40:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:40:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:40:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:40:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:40:32 | 正在更新数据看板数据... 
[SYS] 2025/10/11 - 17:40:32 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/11 - 17:40:32 | syncing options from database 
[SYS] 2025/10/11 - 17:40:32 | syncing channels from database 
[SYS] 2025/10/11 - 17:40:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:40:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:40:32 | channels synced from database 
[SYS] 2025/10/11 - 17:40:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:40:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:41:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:41:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:41:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:41:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:41:32 | syncing options from database 
[SYS] 2025/10/11 - 17:41:32 | syncing channels from database 
[SYS] 2025/10/11 - 17:41:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:41:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:41:32 | channels synced from database 
[SYS] 2025/10/11 - 17:41:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:41:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:42:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:42:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:42:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:42:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:42:32 | syncing options from database 
[SYS] 2025/10/11 - 17:42:32 | syncing channels from database 
[SYS] 2025/10/11 - 17:42:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:42:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:42:32 | channels synced from database 
[SYS] 2025/10/11 - 17:42:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:42:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:43:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:43:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:43:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:43:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:43:32 | syncing options from database 
[SYS] 2025/10/11 - 17:43:32 | syncing channels from database 
[SYS] 2025/10/11 - 17:43:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:43:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 17:43:32 | channels synced from database 
[SYS] 2025/10/11 - 17:43:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 17:43:47 | 任务进度轮询完成 
