[SYS] 2025/10/16 - 12:19:39 | initializing token encoders 
[SYS] 2025/10/16 - 12:19:39 | token encoders initialized 
[SYS] 2025/10/16 - 12:19:39 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/16 - 12:19:39 | database migration started 
[SYS] 2025/10/16 - 12:19:39 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/16 - 12:19:39 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/16 - 12:19:39 | New API v0.0.0 started 
[SYS] 2025/10/16 - 12:19:39 | running in debug mode 
[SYS] 2025/10/16 - 12:19:39 | 正在更新数据看板数据... 
[SYS] 2025/10/16 - 12:19:39 | 保存数据看板数据成功，共保存0条数据 
[GIN] 2025/10/16 - 12:19:51 | 2025101612195198734000Br4foTRX | 200 |    1.788583ms |             ::1 |     GET /api/status
[ERR] 2025/10/16 - 12:19:51 | 202510161219511565170000MjtGEbN | user 1 | 分组 default 下模型 coze-workflow 无可用渠道（distributor） 
[GIN] 2025/10/16 - 12:19:51 | 202510161219511565170000MjtGEbN | 503 |     507.292µs |             ::1 |    POST /v1/chat/completions
[SYS] 2025/10/16 - 12:19:54 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:19:54 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:20:09 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:20:09 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:20:24 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:20:24 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:20:39 | syncing options from database 
[SYS] 2025/10/16 - 12:20:39 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:20:39 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:20:54 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:20:54 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:21:09 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:21:09 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:21:24 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:21:24 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:21:39 | syncing options from database 
[SYS] 2025/10/16 - 12:21:39 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:21:39 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:21:54 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:21:54 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:22:09 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:22:09 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:22:24 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:22:24 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:22:39 | syncing options from database 
[SYS] 2025/10/16 - 12:22:39 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:22:39 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:22:54 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:22:54 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:23:09 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:23:09 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:23:24 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:23:24 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:23:39 | syncing options from database 
[SYS] 2025/10/16 - 12:23:39 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:23:39 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:23:54 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:23:54 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:24:09 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:24:09 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:24:24 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:24:24 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:24:39 | 正在更新数据看板数据... 
[SYS] 2025/10/16 - 12:24:39 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/16 - 12:24:39 | syncing options from database 
[SYS] 2025/10/16 - 12:24:39 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:24:39 | 任务进度轮询完成 
[SYS] 2025/10/16 - 12:24:54 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:24:54 | 任务进度轮询完成 
[ERR] 2025/10/16 - 12:25:02 | 20251016122502647098000FeQhqnoO | user 1 | 分组 default 下模型 coze-workflow 无可用渠道（distributor） 
[GIN] 2025/10/16 - 12:25:02 | 20251016122502647098000FeQhqnoO | 503 |    4.756042ms |             ::1 |    POST /v1/chat/completions
[SYS] 2025/10/16 - 12:25:09 | 任务进度轮询开始 
[SYS] 2025/10/16 - 12:25:09 | 任务进度轮询完成 
