[SYS] 2025/10/10 - 09:56:16 | initializing token encoders 
[SYS] 2025/10/10 - 09:56:16 | token encoders initialized 
[SYS] 2025/10/10 - 09:56:16 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/10 - 09:56:16 | database migration started 
[SYS] 2025/10/10 - 09:56:16 | system is not initialized and no root user exists 
[SYS] 2025/10/10 - 09:56:16 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/10 - 09:56:16 | New API v0.0.0 started 
[SYS] 2025/10/10 - 09:56:16 | 正在更新数据看板数据... 
[SYS] 2025/10/10 - 09:56:16 | 保存数据看板数据成功，共保存0条数据 
[FATAL] 2025/10/10 - 09:56:16 | [failed to start HTTP server: listen tcp :3001: bind: address already in use] 
