[SYS] 2025/10/11 - 11:35:16 | initializing token encoders 
[SYS] 2025/10/11 - 11:35:16 | token encoders initialized 
[SYS] 2025/10/11 - 11:35:16 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/11 - 11:35:16 | database migration started 
[SYS] 2025/10/11 - 11:35:17 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/11 - 11:35:17 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/11 - 11:35:17 | New API v0.0.0 started 
[SYS] 2025/10/11 - 11:35:17 | running in debug mode 
[SYS] 2025/10/11 - 11:35:17 | memory cache enabled 
[SYS] 2025/10/11 - 11:35:17 | sync frequency: 60 seconds 
[SYS] 2025/10/11 - 11:35:17 | channels synced from database 
[SYS] 2025/10/11 - 11:35:17 | 正在更新数据看板数据... 
[SYS] 2025/10/11 - 11:35:17 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/11 - 11:35:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:35:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:35:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:35:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:36:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:36:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:36:17 | syncing options from database 
[SYS] 2025/10/11 - 11:36:17 | syncing channels from database 
[SYS] 2025/10/11 - 11:36:17 | channels synced from database 
[SYS] 2025/10/11 - 11:36:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:36:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:36:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:36:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:36:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:36:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:37:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:37:02 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:37:17 | syncing options from database 
[SYS] 2025/10/11 - 11:37:17 | syncing channels from database 
[SYS] 2025/10/11 - 11:37:17 | channels synced from database 
[SYS] 2025/10/11 - 11:37:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:37:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:37:32 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:37:32 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:37:47 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:37:47 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:38:02 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:38:02 | 任务进度轮询完成 
[GIN] 2025/10/11 - 11:38:11 | 20251011113811732217000ukPs64UL | 200 |    2.950375ms |             ::1 |     GET /
[SYS] 2025/10/11 - 11:38:17 | syncing options from database 
[SYS] 2025/10/11 - 11:38:17 | syncing channels from database 
[SYS] 2025/10/11 - 11:38:17 | 任务进度轮询开始 
[SYS] 2025/10/11 - 11:38:17 | 任务进度轮询完成 
[SYS] 2025/10/11 - 11:38:17 | channels synced from database 
