[SYS] 2025/10/10 - 17:43:41 | initializing token encoders 
[SYS] 2025/10/10 - 17:43:41 | token encoders initialized 
[SYS] 2025/10/10 - 17:43:41 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/10 - 17:43:41 | database migration started 
[SYS] 2025/10/10 - 17:43:41 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/10 - 17:43:41 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/10 - 17:43:41 | New API v0.0.0 started 
[SYS] 2025/10/10 - 17:43:41 | running in debug mode 
[SYS] 2025/10/10 - 17:43:41 | memory cache enabled 
[SYS] 2025/10/10 - 17:43:41 | sync frequency: 60 seconds 
[SYS] 2025/10/10 - 17:43:41 | channels synced from database 
[SYS] 2025/10/10 - 17:43:41 | 正在更新数据看板数据... 
[SYS] 2025/10/10 - 17:43:41 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/10 - 17:43:56 | 任务进度轮询开始 
[SYS] 2025/10/10 - 17:43:56 | 任务进度轮询完成 
[SYS] 2025/10/10 - 17:44:11 | 任务进度轮询开始 
[SYS] 2025/10/10 - 17:44:11 | 任务进度轮询完成 
[SYS] 2025/10/10 - 17:44:26 | 任务进度轮询开始 
[SYS] 2025/10/10 - 17:44:26 | 任务进度轮询完成 
[SYS] 2025/10/10 - 17:44:41 | syncing channels from database 
[SYS] 2025/10/10 - 17:44:41 | syncing options from database 
[SYS] 2025/10/10 - 17:44:41 | channels synced from database 
[SYS] 2025/10/10 - 17:44:41 | 任务进度轮询开始 
[SYS] 2025/10/10 - 17:44:41 | 任务进度轮询完成 
[SYS] 2025/10/10 - 17:44:56 | 任务进度轮询开始 
[SYS] 2025/10/10 - 17:44:56 | 任务进度轮询完成 
[SYS] 2025/10/10 - 17:45:11 | 任务进度轮询开始 
[SYS] 2025/10/10 - 17:45:11 | 任务进度轮询完成 
[SYS] 2025/10/10 - 17:45:26 | 任务进度轮询开始 
[SYS] 2025/10/10 - 17:45:26 | 任务进度轮询完成 
[ERR] 2025/10/10 - 17:45:34 | 20251010174534147195000wvTsUZOV | user 1 | 分组 default 下模型 suno_ 无可用渠道（distributor） 
[GIN] 2025/10/10 - 17:45:34 | 20251010174534147195000wvTsUZOV | 503 |    2.471875ms |             ::1 |    POST /suno/generate
[GIN] 2025/10/10 - 17:45:36 | 20251010174536475288000hgQ8yGFG | 200 |     895.459µs |             ::1 |     GET /console/channel
[GIN] 2025/10/10 - 17:45:36 | 20251010174536835162000nlzoKpQI | 200 |    4.295417ms |             ::1 |     GET /api/models
[GIN] 2025/10/10 - 17:45:36 | 202510101745368347870009aC7N8pj | 200 |    4.749375ms |             ::1 |     GET /api/group/
[GIN] 2025/10/10 - 17:45:36 | 20251010174536833583000D1xMLNoF | 200 |    6.215833ms |             ::1 |     GET /api/user/self
[GIN] 2025/10/10 - 17:45:36 | 20251010174536834882000UKavLp8Z | 200 |    4.951417ms |             ::1 |     GET /api/channel/?p=1&page_size=10&id_sort=false&tag_mode=false
[GIN] 2025/10/10 - 17:45:36 | 20251010174536838806000i1DfuMVR | 200 |     974.166µs |             ::1 |     GET /api/status
[GIN] 2025/10/10 - 17:45:36 | 202510101745368338510006Z69qRhL | 200 |    6.317792ms |             ::1 |     GET /api/channel/models
[GIN] 2025/10/10 - 17:45:37 | 202510101745371105850000mGjMwqD | 200 |    1.501916ms |             ::1 |     GET /api/user/self
