[SYS] 2025/10/15 - 17:06:38 | initializing token encoders 
[SYS] 2025/10/15 - 17:06:38 | token encoders initialized 
[SYS] 2025/10/15 - 17:06:38 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/15 - 17:06:38 | database migration started 
[SYS] 2025/10/15 - 17:06:38 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/15 - 17:06:38 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/15 - 17:06:38 | New API v0.0.0 started 
[SYS] 2025/10/15 - 17:06:38 | running in debug mode 
[SYS] 2025/10/15 - 17:06:38 | memory cache enabled 
[SYS] 2025/10/15 - 17:06:38 | sync frequency: 60 seconds 
[SYS] 2025/10/15 - 17:06:38 | channels synced from database 
[SYS] 2025/10/15 - 17:06:38 | 正在更新数据看板数据... 
[SYS] 2025/10/15 - 17:06:38 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/15 - 17:06:53 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:06:53 | 任务进度轮询完成 
[SYS] 2025/10/15 - 17:07:08 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:07:08 | 任务进度轮询完成 
[SYS] 2025/10/15 - 17:07:23 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:07:23 | 任务进度轮询完成 
[SYS] 2025/10/15 - 17:07:38 | syncing options from database 
[SYS] 2025/10/15 - 17:07:38 | syncing channels from database 
[SYS] 2025/10/15 - 17:07:38 | channels synced from database 
[SYS] 2025/10/15 - 17:07:38 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:07:38 | 任务进度轮询完成 
[SYS] 2025/10/15 - 17:07:53 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:07:53 | 任务进度轮询完成 
[SYS] 2025/10/15 - 17:08:08 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:08:08 | 任务进度轮询完成 
[SYS] 2025/10/15 - 17:08:23 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:08:23 | 任务进度轮询完成 
[SYS] 2025/10/15 - 17:08:38 | syncing options from database 
[SYS] 2025/10/15 - 17:08:38 | syncing channels from database 
[SYS] 2025/10/15 - 17:08:38 | channels synced from database 
[SYS] 2025/10/15 - 17:08:38 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:08:38 | 任务进度轮询完成 
[SYS] 2025/10/15 - 17:08:53 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:08:53 | 任务进度轮询完成 
[SYS] 2025/10/15 - 17:09:08 | 任务进度轮询开始 
[SYS] 2025/10/15 - 17:09:08 | 任务进度轮询完成 
