[SYS] 2025/10/10 - 18:01:59 | initializing token encoders 
[SYS] 2025/10/10 - 18:01:59 | token encoders initialized 
[SYS] 2025/10/10 - 18:01:59 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/10 - 18:01:59 | database migration started 
[SYS] 2025/10/10 - 18:01:59 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/10 - 18:01:59 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/10 - 18:01:59 | New API v0.0.0 started 
[SYS] 2025/10/10 - 18:01:59 | running in debug mode 
[SYS] 2025/10/10 - 18:01:59 | memory cache enabled 
[SYS] 2025/10/10 - 18:01:59 | sync frequency: 60 seconds 
[SYS] 2025/10/10 - 18:01:59 | channels synced from database 
[SYS] 2025/10/10 - 18:01:59 | 正在更新数据看板数据... 
[SYS] 2025/10/10 - 18:01:59 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/10 - 18:02:14 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:02:14 | 任务进度轮询完成 
[SYS] 2025/10/10 - 18:02:29 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:02:29 | 任务进度轮询完成 
[SYS] 2025/10/10 - 18:02:44 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:02:44 | 任务进度轮询完成 
[SYS] 2025/10/10 - 18:02:59 | syncing options from database 
[SYS] 2025/10/10 - 18:02:59 | syncing channels from database 
[SYS] 2025/10/10 - 18:02:59 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:02:59 | 任务进度轮询完成 
[SYS] 2025/10/10 - 18:02:59 | channels synced from database 
[SYS] 2025/10/10 - 18:03:14 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:03:14 | 任务进度轮询完成 
[SYS] 2025/10/10 - 18:03:29 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:03:29 | 任务进度轮询完成 
[INFO] 2025/10/10 - 18:03:43 | 2025101018033657581000SszGvugu | record consume log: userId=1, params={"channel_id":1,"prompt_tokens":0,"completion_tokens":0,"model_name":"suno_passthrough","token_name":"1","quota":2000,"content":"Suno透传模式，消费配额: 2000","token_id":1,"use_time_seconds":0,"is_stream":false,"group":"default","other":null} 
[SYS] 2025/10/10 - 18:03:43 | user 1 has no email, skip sending email 
[GIN] 2025/10/10 - 18:03:43 | 2025101018033657581000SszGvugu | 200 |  7.559576292s |             ::1 |    POST /suno/generate
[SYS] 2025/10/10 - 18:03:44 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:03:44 | 任务进度轮询完成 
[SYS] 2025/10/10 - 18:03:59 | syncing options from database 
[SYS] 2025/10/10 - 18:03:59 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:03:59 | 任务进度轮询完成 
[SYS] 2025/10/10 - 18:03:59 | syncing channels from database 
[SYS] 2025/10/10 - 18:03:59 | channels synced from database 
[SYS] 2025/10/10 - 18:04:14 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:04:14 | 任务进度轮询完成 
[SYS] 2025/10/10 - 18:04:29 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:04:29 | 任务进度轮询完成 
[SYS] 2025/10/10 - 18:04:44 | 任务进度轮询开始 
[SYS] 2025/10/10 - 18:04:44 | 任务进度轮询完成 
