[SYS] 2025/10/15 - 16:45:09 | initializing token encoders 
[SYS] 2025/10/15 - 16:45:09 | token encoders initialized 
[SYS] 2025/10/15 - 16:45:09 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/15 - 16:45:09 | database migration started 
[SYS] 2025/10/15 - 16:45:09 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/15 - 16:45:09 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/15 - 16:45:09 | New API v0.0.0 started 
[SYS] 2025/10/15 - 16:45:09 | running in debug mode 
[SYS] 2025/10/15 - 16:45:09 | memory cache enabled 
[SYS] 2025/10/15 - 16:45:09 | sync frequency: 60 seconds 
[SYS] 2025/10/15 - 16:45:09 | channels synced from database 
[SYS] 2025/10/15 - 16:45:09 | 正在更新数据看板数据... 
[SYS] 2025/10/15 - 16:45:09 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/15 - 16:45:24 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:45:24 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:45:39 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:45:39 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:45:54 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:45:54 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:46:09 | syncing channels from database 
[SYS] 2025/10/15 - 16:46:09 | syncing options from database 
[SYS] 2025/10/15 - 16:46:09 | channels synced from database 
[SYS] 2025/10/15 - 16:46:09 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:46:09 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:46:24 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:46:24 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:46:39 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:46:39 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:46:54 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:46:54 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:47:09 | syncing options from database 
[SYS] 2025/10/15 - 16:47:09 | syncing channels from database 
[SYS] 2025/10/15 - 16:47:09 | channels synced from database 
[SYS] 2025/10/15 - 16:47:09 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:47:09 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:47:24 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:47:24 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:47:39 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:47:39 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:47:54 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:47:54 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:48:09 | syncing options from database 
[SYS] 2025/10/15 - 16:48:09 | syncing channels from database 
[SYS] 2025/10/15 - 16:48:09 | channels synced from database 
[SYS] 2025/10/15 - 16:48:09 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:48:09 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:48:24 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:48:24 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:48:39 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:48:39 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:48:54 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:48:54 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:49:09 | syncing options from database 
[SYS] 2025/10/15 - 16:49:09 | syncing channels from database 
[SYS] 2025/10/15 - 16:49:09 | channels synced from database 
[SYS] 2025/10/15 - 16:49:09 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:49:09 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:49:24 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:49:24 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:49:39 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:49:39 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:49:54 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:49:54 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:50:09 | 正在更新数据看板数据... 
[SYS] 2025/10/15 - 16:50:09 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/15 - 16:50:09 | syncing options from database 
[SYS] 2025/10/15 - 16:50:09 | syncing channels from database 
[SYS] 2025/10/15 - 16:50:09 | 任务进度轮询开始 
[SYS] 2025/10/15 - 16:50:09 | 任务进度轮询完成 
[SYS] 2025/10/15 - 16:50:09 | channels synced from database 
[SYS] 2025/10/15 - 16:50:24 | 任务进度轮询开始 
