[SYS] 2025/10/13 - 16:43:53 | initializing token encoders 
[SYS] 2025/10/13 - 16:43:53 | token encoders initialized 
[SYS] 2025/10/13 - 16:43:53 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/13 - 16:43:53 | database migration started 
[SYS] 2025/10/13 - 16:43:53 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/13 - 16:43:53 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/13 - 16:43:53 | New API v0.0.0 started 
[SYS] 2025/10/13 - 16:43:53 | running in debug mode 
[SYS] 2025/10/13 - 16:43:53 | memory cache enabled 
[SYS] 2025/10/13 - 16:43:53 | sync frequency: 60 seconds 
[SYS] 2025/10/13 - 16:43:53 | channels synced from database 
[SYS] 2025/10/13 - 16:43:53 | 正在更新数据看板数据... 
[SYS] 2025/10/13 - 16:43:53 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/13 - 16:44:08 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:44:08 | 任务进度轮询完成 
[SYS] 2025/10/13 - 16:44:23 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:44:23 | 任务进度轮询完成 
[SYS] 2025/10/13 - 16:44:38 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:44:38 | 任务进度轮询完成 
[SYS] 2025/10/13 - 16:44:53 | syncing options from database 
[SYS] 2025/10/13 - 16:44:53 | syncing channels from database 
[SYS] 2025/10/13 - 16:44:53 | channels synced from database 
[SYS] 2025/10/13 - 16:44:53 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:44:53 | 任务进度轮询完成 
[SYS] 2025/10/13 - 16:45:08 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:45:08 | 任务进度轮询完成 
[GIN] 2025/10/13 - 16:45:19 | 20251013164519492270009gTRg4ur | 204 |      52.416µs |             ::1 | OPTIONS /runwayml/v1/image_to_video
[SYS] 2025/10/13 - 16:45:23 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:45:23 | 任务进度轮询完成 
[GIN] 2025/10/13 - 16:45:24 | 2025101316451950967000BFRtQuKD | 500 |  5.062502791s |             ::1 |    POST /runwayml/v1/image_to_video
[GIN] 2025/10/13 - 16:45:25 | 20251013164525329602000ihUt024r | 204 |       9.833µs |             ::1 | OPTIONS /runwayml/v1/tasks/c735858c-4868-46f4-90e8-c8d4472dc49e
[GIN] 2025/10/13 - 16:45:26 | 20251013164525330637000MUZkteF5 | 200 |   1.54811225s |             ::1 |     GET /runwayml/v1/tasks/c735858c-4868-46f4-90e8-c8d4472dc49e
[SYS] 2025/10/13 - 16:45:38 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:45:38 | 任务进度轮询完成 
[SYS] 2025/10/13 - 16:45:53 | syncing options from database 
[SYS] 2025/10/13 - 16:45:53 | syncing channels from database 
[SYS] 2025/10/13 - 16:45:53 | channels synced from database 
[SYS] 2025/10/13 - 16:45:53 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:45:53 | 任务进度轮询完成 
[SYS] 2025/10/13 - 16:46:08 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:46:08 | 任务进度轮询完成 
[GIN] 2025/10/13 - 16:46:15 | 20251013164615575502000fHjqkZXD | 204 |      13.709µs |             ::1 | OPTIONS /pika/generate
[INFO] 2025/10/13 - 16:46:18 | 202510131646155767210006zicqsPQ | record consume log: userId=1, params={"channel_id":6,"prompt_tokens":1,"completion_tokens":1,"model_name":"pika","token_name":"1","quota":1000,"content":"Bltcy透传（pika/pika），价格: $0.0000, 配额: 1000, 来源: base","token_id":1,"use_time_seconds":0,"is_stream":false,"group":"default","other":{"completion_ratio":1,"group_ratio":1,"model_price":0,"model_ratio":1}} 
[SYS] 2025/10/13 - 16:46:18 | user 1 has no email, skip sending email 
[GIN] 2025/10/13 - 16:46:18 | 202510131646155767210006zicqsPQ | 503 |  3.413373875s |             ::1 |    POST /pika/generate
[SYS] 2025/10/13 - 16:46:23 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:46:24 | 任务进度轮询完成 
[SYS] 2025/10/13 - 16:46:39 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:46:39 | 任务进度轮询完成 
[GIN] 2025/10/13 - 16:46:50 | 20251013164650272137000gRB49T7J | 200 |    3.029791ms |             ::1 |     GET /console
[GIN] 2025/10/13 - 16:46:50 | 20251013164650308787000fdg1jefT | 200 |     716.625µs |             ::1 |     GET /.well-known/appspecific/com.chrome.devtools.json
[GIN] 2025/10/13 - 16:46:50 | 20251013164650645633000VcocJNaX | 200 |    1.279708ms |             ::1 |     GET /api/status
[GIN] 2025/10/13 - 16:46:50 | 20251013164650645496000TrPXiRDd | 200 |    3.202958ms |             ::1 |     GET /api/user/self
[GIN] 2025/10/13 - 16:46:50 | 20251013164650929069000HQ26VHP7 | 200 |    1.533458ms |             ::1 |     GET /api/user/self
[GIN] 2025/10/13 - 16:46:50 | 20251013164650931027000eZpOG78T | 200 |       3.427ms |             ::1 |     GET /api/data/?username=&start_timestamp=1760258810&end_timestamp=1760348810&default_time=hour
[GIN] 2025/10/13 - 16:46:50 | 202510131646509877930001uvOTi4z | 200 |     961.792µs |             ::1 |     GET /api/uptime/status
[SYS] 2025/10/13 - 16:46:53 | syncing options from database 
[SYS] 2025/10/13 - 16:46:53 | syncing channels from database 
[SYS] 2025/10/13 - 16:46:53 | channels synced from database 
[SYS] 2025/10/13 - 16:46:54 | 任务进度轮询开始 
[SYS] 2025/10/13 - 16:46:54 | 任务进度轮询完成 
[SYS] 2025/10/13 - 16:47:09 | 任务进度轮询开始 
