[SYS] 2025/10/10 - 11:35:46 | initializing token encoders 
[SYS] 2025/10/10 - 11:35:46 | token encoders initialized 
[SYS] 2025/10/10 - 11:35:46 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/10 - 11:35:46 | database migration started 
[SYS] 2025/10/10 - 11:35:46 | system is not initialized and no root user exists 
[SYS] 2025/10/10 - 11:35:46 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/10 - 11:35:46 | New API v0.0.0 started 
[SYS] 2025/10/10 - 11:35:46 | running in debug mode 
[SYS] 2025/10/10 - 11:35:46 | memory cache enabled 
[SYS] 2025/10/10 - 11:35:46 | sync frequency: 60 seconds 
[SYS] 2025/10/10 - 11:35:46 | channels synced from database 
[SYS] 2025/10/10 - 11:35:46 | 正在更新数据看板数据... 
[SYS] 2025/10/10 - 11:35:46 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/10 - 11:36:01 | 任务进度轮询开始 
[SYS] 2025/10/10 - 11:36:01 | 任务进度轮询完成 
[SYS] 2025/10/10 - 11:36:16 | 任务进度轮询开始 
[SYS] 2025/10/10 - 11:36:16 | 任务进度轮询完成 
[SYS] 2025/10/10 - 11:36:31 | 任务进度轮询开始 
[SYS] 2025/10/10 - 11:36:31 | 任务进度轮询完成 
[SYS] 2025/10/10 - 11:36:46 | syncing options from database 
[SYS] 2025/10/10 - 11:36:46 | syncing channels from database 
[SYS] 2025/10/10 - 11:36:46 | channels synced from database 
[SYS] 2025/10/10 - 11:36:46 | 任务进度轮询开始 
[SYS] 2025/10/10 - 11:36:46 | 任务进度轮询完成 
[SYS] 2025/10/10 - 11:37:01 | 任务进度轮询开始 
[SYS] 2025/10/10 - 11:37:01 | 任务进度轮询完成 
[SYS] 2025/10/10 - 11:37:16 | 任务进度轮询开始 
[SYS] 2025/10/10 - 11:37:16 | 任务进度轮询完成 
