[SYS] 2025/10/13 - 17:24:31 | initializing token encoders 
[SYS] 2025/10/13 - 17:24:31 | token encoders initialized 
[SYS] 2025/10/13 - 17:24:31 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/13 - 17:24:31 | database migration started 
[SYS] 2025/10/13 - 17:24:31 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/13 - 17:24:31 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/13 - 17:24:31 | New API v0.0.0 started 
[SYS] 2025/10/13 - 17:24:31 | running in debug mode 
[SYS] 2025/10/13 - 17:24:31 | memory cache enabled 
[SYS] 2025/10/13 - 17:24:31 | sync frequency: 60 seconds 
[SYS] 2025/10/13 - 17:24:31 | channels synced from database 
[SYS] 2025/10/13 - 17:24:31 | 正在更新数据看板数据... 
[SYS] 2025/10/13 - 17:24:31 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/13 - 17:24:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:24:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:25:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:25:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:25:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:25:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:25:31 | syncing options from database 
[SYS] 2025/10/13 - 17:25:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:25:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:25:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:25:31 | channels synced from database 
[SYS] 2025/10/13 - 17:25:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:25:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:26:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:26:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:26:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:26:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:26:31 | syncing options from database 
[SYS] 2025/10/13 - 17:26:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:26:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:26:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:26:31 | channels synced from database 
[SYS] 2025/10/13 - 17:26:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:26:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:27:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:27:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:27:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:27:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:27:31 | syncing options from database 
[SYS] 2025/10/13 - 17:27:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:27:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:27:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:27:31 | channels synced from database 
[SYS] 2025/10/13 - 17:27:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:27:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:28:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:28:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:28:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:28:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:28:31 | syncing options from database 
[SYS] 2025/10/13 - 17:28:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:28:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:28:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:28:31 | channels synced from database 
[SYS] 2025/10/13 - 17:28:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:28:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:29:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:29:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:29:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:29:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:29:31 | 正在更新数据看板数据... 
[SYS] 2025/10/13 - 17:29:31 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/13 - 17:29:31 | syncing options from database 
[SYS] 2025/10/13 - 17:29:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:29:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:29:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:29:31 | channels synced from database 
[SYS] 2025/10/13 - 17:29:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:29:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:30:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:30:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:30:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:30:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:30:31 | syncing options from database 
[SYS] 2025/10/13 - 17:30:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:30:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:30:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:30:31 | channels synced from database 
[SYS] 2025/10/13 - 17:30:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:30:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:31:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:31:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:31:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:31:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:31:31 | syncing options from database 
[SYS] 2025/10/13 - 17:31:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:31:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:31:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:31:31 | channels synced from database 
[SYS] 2025/10/13 - 17:31:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:31:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:32:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:32:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:32:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:32:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:32:31 | syncing options from database 
[SYS] 2025/10/13 - 17:32:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:32:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:32:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:32:31 | channels synced from database 
[SYS] 2025/10/13 - 17:32:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:32:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:33:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:33:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:33:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:33:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:33:31 | syncing options from database 
[SYS] 2025/10/13 - 17:33:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:33:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:33:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:33:31 | channels synced from database 
[SYS] 2025/10/13 - 17:33:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:33:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:34:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:34:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:34:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:34:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:34:31 | 正在更新数据看板数据... 
[SYS] 2025/10/13 - 17:34:31 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/13 - 17:34:31 | syncing options from database 
[SYS] 2025/10/13 - 17:34:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:34:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:34:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:34:31 | channels synced from database 
[SYS] 2025/10/13 - 17:34:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:34:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:35:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:35:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:35:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:35:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:35:31 | syncing options from database 
[SYS] 2025/10/13 - 17:35:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:35:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:35:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:35:31 | channels synced from database 
[SYS] 2025/10/13 - 17:35:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:35:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:36:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:36:01 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:36:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:36:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:36:31 | syncing options from database 
[SYS] 2025/10/13 - 17:36:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:36:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:36:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:36:31 | channels synced from database 
[SYS] 2025/10/13 - 17:36:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:36:46 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:37:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:37:01 | 任务进度轮询完成 
[GIN] 2025/10/13 - 17:37:08 | 20251013173708808649000XXyFhIZN | 204 |      17.041µs |             ::1 | OPTIONS /kling/v1/videos/image2video
[SYS] 2025/10/13 - 17:37:16 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:37:16 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:37:19 | user 1 has no email, skip sending email 
[INFO] 2025/10/13 - 17:37:19 | 20251013173708809658000FFxzZ3yG | record consume log: userId=1, params={"channel_id":6,"prompt_tokens":1,"completion_tokens":1,"model_name":"kling","token_name":"1","quota":1000,"content":"Bltcy透传（kling/kling），价格: $0.0000, 配额: 1000, 来源: base","token_id":1,"use_time_seconds":0,"is_stream":false,"group":"default","other":{"completion_ratio":1,"group_ratio":1,"model_price":0,"model_ratio":1}} 
[GIN] 2025/10/13 - 17:37:19 | 20251013173708809658000FFxzZ3yG | 200 | 10.938305583s |             ::1 |    POST /kling/v1/videos/image2video
[GIN] 2025/10/13 - 17:37:19 | 20251013173719751784000AQUzh8IQ | 204 |      13.708µs |             ::1 | OPTIONS /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:21 | 20251013173719753014000NKaToMZd | 200 |  1.879323292s |             ::1 |     GET /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:27 | 2025101317372725912000TPeG4ZWc | 200 |    1.193166ms |             ::1 |     GET /api/mj/?p=1&page_size=10&channel_id=&mj_id=&start_timestamp=1757756247000&end_timestamp=1760351847000
[GIN] 2025/10/13 - 17:37:27 | 20251013173727691302000TJM0h27S | 204 |       16.25µs |             ::1 | OPTIONS /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:28 | 20251013173728146229000EjsQ1YSc | 200 |    1.523458ms |             ::1 |     GET /api/task/?p=1&page_size=10&channel_id=&task_id=&start_timestamp=1760284800&end_timestamp=1760351848
[GIN] 2025/10/13 - 17:37:29 | 20251013173727692917000zN7ZqWSj | 200 |  1.313866042s |             ::1 |     GET /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:29 | 20251013173729262224000kIxGt5t2 | 200 |    1.220625ms |             ::1 |     GET /api/token/?p=1&size=10
[GIN] 2025/10/13 - 17:37:29 | 20251013173729263105000KfVy81ao | 200 |     421.666µs |             ::1 |     GET /api/user/self/groups
[GIN] 2025/10/13 - 17:37:29 | 20251013173729263269000ONcWXD17 | 200 |    5.605291ms |             ::1 |     GET /api/user/models
[GIN] 2025/10/13 - 17:37:30 | 202510131737301273540001jKG4y2K | 200 |     731.084µs |             ::1 |     GET /api/user/self
[GIN] 2025/10/13 - 17:37:30 | 202510131737301281350008iMA1gMT | 200 |     580.709µs |             ::1 |     GET /api/data/?username=&start_timestamp=1760261850&end_timestamp=1760351850&default_time=hour
[GIN] 2025/10/13 - 17:37:30 | 20251013173730154411000Xh7cEs5o | 200 |     138.833µs |             ::1 |     GET /api/uptime/status
[SYS] 2025/10/13 - 17:37:31 | syncing options from database 
[SYS] 2025/10/13 - 17:37:31 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:37:31 | syncing channels from database 
[SYS] 2025/10/13 - 17:37:31 | 任务进度轮询完成 
[SYS] 2025/10/13 - 17:37:31 | channels synced from database 
[GIN] 2025/10/13 - 17:37:34 | 2025101317373469062300058W4cDWc | 204 |      12.208µs |             ::1 | OPTIONS /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:35 | 20251013173734691516000UgKIZVdM | 200 |  664.190417ms |             ::1 |     GET /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:40 | 20251013173740689864000i4wkNTjt | 204 |       7.542µs |             ::1 | OPTIONS /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:41 | 202510131737406905800006TXEEokB | 200 |   729.28675ms |             ::1 |     GET /kling/v1/videos/image2video/806647366060625970
[SYS] 2025/10/13 - 17:37:46 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:37:46 | 任务进度轮询完成 
[GIN] 2025/10/13 - 17:37:46 | 20251013173746690486000WbENUvOP | 204 |      10.875µs |             ::1 | OPTIONS /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:47 | 20251013173746691114000S8pipbPo | 200 |  746.501333ms |             ::1 |     GET /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:48 | 20251013173748849440000sHWrbUOc | 200 |     227.416µs |             ::1 |     GET /console
[GIN] 2025/10/13 - 17:37:48 | 20251013173748867720000UaJ5jQ49 | 200 |     135.625µs |             ::1 |     GET /.well-known/appspecific/com.chrome.devtools.json
[GIN] 2025/10/13 - 17:37:49 | 2025101317374984931000l0oHeUbg | 200 |     292.209µs |             ::1 |     GET /api/status
[GIN] 2025/10/13 - 17:37:49 | 2025101317374984883000w8xKylfI | 200 |     556.458µs |             ::1 |     GET /api/user/self
[GIN] 2025/10/13 - 17:37:49 | 20251013173749286299000JxjoywyB | 200 |     452.917µs |             ::1 |     GET /api/user/self
[GIN] 2025/10/13 - 17:37:49 | 20251013173749352316000fyUw3vnd | 200 |      461.25µs |             ::1 |     GET /api/user/self
[GIN] 2025/10/13 - 17:37:49 | 20251013173749353580000DrRaW8mf | 200 |     422.125µs |             ::1 |     GET /api/data/?username=&start_timestamp=1760261869&end_timestamp=1760351869&default_time=hour
[GIN] 2025/10/13 - 17:37:49 | 20251013173749382254000PVHc7Ydg | 200 |     114.458µs |             ::1 |     GET /api/uptime/status
[GIN] 2025/10/13 - 17:37:52 | 20251013173752690440000tzK2LqwP | 204 |      14.209µs |             ::1 | OPTIONS /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:53 | 202510131737526919440004ewLsZZM | 200 |  678.943208ms |             ::1 |     GET /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:58 | 20251013173758690568000cwGNp8va | 204 |       7.875µs |             ::1 | OPTIONS /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:37:59 | 202510131737586915000008sXQPjfg | 200 |  1.228398375s |             ::1 |     GET /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:38:00 | 20251013173800776498000IlqZQg1S | 200 |    2.411541ms |             ::1 |     GET /api/log/?p=1&page_size=10&type=0&username=&token_name=&model_name=&start_timestamp=1760284800&end_timestamp=1760351880&channel=&group=
[GIN] 2025/10/13 - 17:38:00 | 20251013173800818892000hF3hRtm0 | 200 |     608.709µs |             ::1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1760284800&end_timestamp=1760351880&channel=&group=
[SYS] 2025/10/13 - 17:38:01 | 任务进度轮询开始 
[SYS] 2025/10/13 - 17:38:01 | 任务进度轮询完成 
[GIN] 2025/10/13 - 17:38:05 | 202510131738056935850000Tbyxhgn | 204 |      10.333µs |             ::1 | OPTIONS /kling/v1/videos/image2video/806647366060625970
[GIN] 2025/10/13 - 17:38:06 | 20251013173805695002000KLWOL8H7 | 200 |  700.111625ms |             ::1 |     GET /kling/v1/videos/image2video/806647366060625970
