[SYS] 2025/10/10 - 09:40:44 | initializing token encoders 
[SYS] 2025/10/10 - 09:40:44 | token encoders initialized 
[SYS] 2025/10/10 - 09:40:44 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/10 - 09:40:44 | database migration started 
[SYS] 2025/10/10 - 09:40:44 | system is not initialized and no root user exists 
[SYS] 2025/10/10 - 09:40:44 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/10 - 09:40:44 | New API v0.0.0 started 
[SYS] 2025/10/10 - 09:40:44 | 正在更新数据看板数据... 
[SYS] 2025/10/10 - 09:40:44 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/10 - 09:40:59 | 任务进度轮询开始 
[SYS] 2025/10/10 - 09:40:59 | 任务进度轮询完成 
[SYS] 2025/10/10 - 09:41:14 | 任务进度轮询开始 
[SYS] 2025/10/10 - 09:41:14 | 任务进度轮询完成 
[SYS] 2025/10/10 - 09:41:29 | 任务进度轮询开始 
[SYS] 2025/10/10 - 09:41:29 | 任务进度轮询完成 
[ERR] 2025/10/10 - 09:41:34 | 20251010094134924575000yfHDJJUT | user 0 | 未提供令牌 
[GIN] 2025/10/10 - 09:41:34 | 20251010094134924575000yfHDJJUT | 401 |       95.25µs |             ::1 |    POST /generate
[SYS] 2025/10/10 - 09:41:44 | syncing options from database 
[SYS] 2025/10/10 - 09:41:44 | 任务进度轮询开始 
[SYS] 2025/10/10 - 09:41:44 | 任务进度轮询完成 
[SYS] 2025/10/10 - 09:41:59 | 任务进度轮询开始 
[SYS] 2025/10/10 - 09:41:59 | 任务进度轮询完成 
[SYS] 2025/10/10 - 09:42:14 | 任务进度轮询开始 
[SYS] 2025/10/10 - 09:42:14 | 任务进度轮询完成 
[SYS] 2025/10/10 - 09:42:29 | 任务进度轮询开始 
[SYS] 2025/10/10 - 09:42:29 | 任务进度轮询完成 
[SYS] 2025/10/10 - 09:42:44 | syncing options from database 
[SYS] 2025/10/10 - 09:42:44 | 任务进度轮询开始 
[SYS] 2025/10/10 - 09:42:44 | 任务进度轮询完成 
[ERR] 2025/10/10 - 09:42:46 | 20251010094246129913000o1MXShV5 | user 0 | 无效的令牌 
